feature,s1,s2,s3,s4,s5,mean,std,zero_count
excess_ret_21d,0.032395855,0.0,0.0,0.0,0.0,0.006479171000000001,0.014487866793845292,4
book_to_market,0.031193916,0.0,0.0,0.0,0.0,0.0062387831999999995,0.013950343332083665,4
ret_21d,0.022581482,0.0,0.005952612,0.0,0.0,0.0057068188,0.00977903388452434,3
rsi_14_rank,0.0,0.02824212,0.0,0.0,0.0,0.005648424,0.012630260029741273,4
vol_20d_rank,0.012051678,0.0,0.016077368,0.0,0.0,0.0056258092,0.007833837799078508,3
atr_pct_rank,0.025263067,0.0,0.0,0.0,0.0,0.0050526134,0.011297987026426336,4
excess_ret_5d,0.010621447,0.0,0.013721894,0.0,0.0,0.0048686682,0.006756216787385318,3
current_ratio_rank,0.013034307,0.0,0.0,0.009569854,0.0,0.0045208322,0.0063104208585636505,3
op_income_growth_yoy_rank,0.018118404,0.0,0.0,0.0,0.0,0.0036236808,0.00810279659756082,4
zscore_60d,0.0,0.0,0.0,0.0,0.015450075,0.003090015,0.006909483591494014,4
zscore_20d_rank,0.0,0.0,0.013674348,0.0,0.0,0.0027348696,0.006115354335197659,4
dist_sma50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
dist_sma50_rank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
excess_ret_5d_vs_sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
op_income_growth_yoy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mfi_14_rank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mfi_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
post_earnings_drift_window,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ret_1d_rank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ret_21d_rank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ret_5d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ret_5d_rank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
sales_growth_yoy_rank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
rsi_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ret_1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
spy_trend_regime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
vix_zscore_20d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
trend_regime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
vol_ratio_rank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
vol_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
